air_temp,dni,ghi,period_end,period
25,0,0,2023-10-01T01:00:00Z,PT60M
25,0,0,2023-10-01T02:00:00Z,PT60M
25,0,0,2023-10-01T03:00:00Z,PT60M
25,0,0,2023-10-01T04:00:00Z,PT60M
25,0,0,2023-10-01T05:00:00Z,PT60M
25,0,0,2023-10-01T06:00:00Z,PT60M
25,0,0,2023-10-01T07:00:00Z,PT60M
24,0,0,2023-10-01T08:00:00Z,PT60M
24,0,0,2023-10-01T09:00:00Z,PT60M
24,0,0,2023-10-01T10:00:00Z,PT60M
24,0,0,2023-10-01T11:00:00Z,PT60M
24,0,21,2023-10-01T12:00:00Z,PT60M
25,34,168,2023-10-01T13:00:00Z,PT60M
25,288,412,2023-10-01T14:00:00Z,PT60M
26,231,548,2023-10-01T15:00:00Z,PT60M
27,373,719,2023-10-01T16:00:00Z,PT60M
28,622,893,2023-10-01T17:00:00Z,PT60M
29,713,942,2023-10-01T18:00:00Z,PT60M
28,618,852,2023-10-01T19:00:00Z,PT60M
28,467,687,2023-10-01T20:00:00Z,PT60M
28,366,503,2023-10-01T21:00:00Z,PT60M
27,344,316,2023-10-01T22:00:00Z,PT60M
26,135,103,2023-10-01T23:00:00Z,PT60M
26,0,1,2023-10-02T00:00:00Z,PT60M
25,0,0,2023-10-02T01:00:00Z,PT60M
25,0,0,2023-10-02T02:00:00Z,PT60M
25,0,0,2023-10-02T03:00:00Z,PT60M
25,0,0,2023-10-02T04:00:00Z,PT60M
25,0,0,2023-10-02T05:00:00Z,PT60M
25,0,0,2023-10-02T06:00:00Z,PT60M
25,0,0,2023-10-02T07:00:00Z,PT60M
24,0,0,2023-10-02T08:00:00Z,PT60M
24,0,0,2023-10-02T09:00:00Z,PT60M
24,0,0,2023-10-02T10:00:00Z,PT60M
24,0,0,2023-10-02T11:00:00Z,PT60M
24,18,36,2023-10-02T12:00:00Z,PT60M
25,463,253,2023-10-02T13:00:00Z,PT60M
26,608,489,2023-10-02T14:00:00Z,PT60M
27,726,709,2023-10-02T15:00:00Z,PT60M
27,785,875,2023-10-02T16:00:00Z,PT60M
28,631,901,2023-10-02T17:00:00Z,PT60M
28,791,978,2023-10-02T18:00:00Z,PT60M
28,781,919,2023-10-02T19:00:00Z,PT60M
28,743,784,2023-10-02T20:00:00Z,PT60M
28,669,588,2023-10-02T21:00:00Z,PT60M
27,538,352,2023-10-02T22:00:00Z,PT60M
25,244,114,2023-10-02T23:00:00Z,PT60M
25,0,1,2023-10-03T00:00:00Z,PT60M
25,0,0,2023-10-03T01:00:00Z,PT60M
25,0,0,2023-10-03T02:00:00Z,PT60M
24,0,0,2023-10-03T03:00:00Z,PT60M
24,0,0,2023-10-03T04:00:00Z,PT60M
24,0,0,2023-10-03T05:00:00Z,PT60M
24,0,0,2023-10-03T06:00:00Z,PT60M
24,0,0,2023-10-03T07:00:00Z,PT60M
24,0,0,2023-10-03T08:00:00Z,PT60M
24,0,0,2023-10-03T09:00:00Z,PT60M
24,0,0,2023-10-03T10:00:00Z,PT60M
23,0,0,2023-10-03T11:00:00Z,PT60M
24,0,27,2023-10-03T12:00:00Z,PT60M
24,138,206,2023-10-03T13:00:00Z,PT60M
25,554,483,2023-10-03T14:00:00Z,PT60M
26,750,722,2023-10-03T15:00:00Z,PT60M
27,797,882,2023-10-03T16:00:00Z,PT60M
28,839,983,2023-10-03T17:00:00Z,PT60M
28,843,999,2023-10-03T18:00:00Z,PT60M
28,827,935,2023-10-03T19:00:00Z,PT60M
27,789,798,2023-10-03T20:00:00Z,PT60M
26,714,599,2023-10-03T21:00:00Z,PT60M
26,568,358,2023-10-03T22:00:00Z,PT60M
25,258,116,2023-10-03T23:00:00Z,PT60M
25,0,1,2023-10-04T00:00:00Z,PT60M
25,0,0,2023-10-04T01:00:00Z,PT60M
25,0,0,2023-10-04T02:00:00Z,PT60M
24,0,0,2023-10-04T03:00:00Z,PT60M
24,0,0,2023-10-04T04:00:00Z,PT60M
24,0,0,2023-10-04T05:00:00Z,PT60M
24,0,0,2023-10-04T06:00:00Z,PT60M
23,0,0,2023-10-04T07:00:00Z,PT60M
23,0,0,2023-10-04T08:00:00Z,PT60M
23,0,0,2023-10-04T09:00:00Z,PT60M
23,0,0,2023-10-04T10:00:00Z,PT60M
23,0,0,2023-10-04T11:00:00Z,PT60M
23,14,38,2023-10-04T12:00:00Z,PT60M
24,223,217,2023-10-04T13:00:00Z,PT60M
25,396,443,2023-10-04T14:00:00Z,PT60M
26,543,656,2023-10-04T15:00:00Z,PT60M
26,821,888,2023-10-04T16:00:00Z,PT60M
27,843,980,2023-10-04T17:00:00Z,PT60M
27,846,996,2023-10-04T18:00:00Z,PT60M
27,830,932,2023-10-04T19:00:00Z,PT60M
27,788,794,2023-10-04T20:00:00Z,PT60M
27,719,597,2023-10-04T21:00:00Z,PT60M
26,583,358,2023-10-04T22:00:00Z,PT60M
25,241,114,2023-10-04T23:00:00Z,PT60M
25,0,1,2023-10-05T00:00:00Z,PT60M
25,0,0,2023-10-05T01:00:00Z,PT60M
25,0,0,2023-10-05T02:00:00Z,PT60M
25,0,0,2023-10-05T03:00:00Z,PT60M
24,0,0,2023-10-05T04:00:00Z,PT60M
24,0,0,2023-10-05T05:00:00Z,PT60M
24,0,0,2023-10-05T06:00:00Z,PT60M
24,0,0,2023-10-05T07:00:00Z,PT60M
24,0,0,2023-10-05T08:00:00Z,PT60M
24,0,0,2023-10-05T09:00:00Z,PT60M
24,0,0,2023-10-05T10:00:00Z,PT60M
24,0,0,2023-10-05T11:00:00Z,PT60M
24,37,39,2023-10-05T12:00:00Z,PT60M
24,452,252,2023-10-05T13:00:00Z,PT60M
25,231,396,2023-10-05T14:00:00Z,PT60M
26,462,624,2023-10-05T15:00:00Z,PT60M
27,466,752,2023-10-05T16:00:00Z,PT60M
27,625,890,2023-10-05T17:00:00Z,PT60M
27,680,925,2023-10-05T18:00:00Z,PT60M
27,631,855,2023-10-05T19:00:00Z,PT60M
27,431,670,2023-10-05T20:00:00Z,PT60M
27,437,519,2023-10-05T21:00:00Z,PT60M
26,428,327,2023-10-05T22:00:00Z,PT60M
25,141,103,2023-10-05T23:00:00Z,PT60M
25,0,1,2023-10-06T00:00:00Z,PT60M
25,0,0,2023-10-06T01:00:00Z,PT60M
25,0,0,2023-10-06T02:00:00Z,PT60M
24,0,0,2023-10-06T03:00:00Z,PT60M
24,0,0,2023-10-06T04:00:00Z,PT60M
24,0,0,2023-10-06T05:00:00Z,PT60M
24,0,0,2023-10-06T06:00:00Z,PT60M
24,0,0,2023-10-06T07:00:00Z,PT60M
24,0,0,2023-10-06T08:00:00Z,PT60M
