air_temp,dni,ghi,period_end,period
27,0,0,2023-10-01T01:00:00Z,PT60M
27,0,0,2023-10-01T02:00:00Z,PT60M
26,0,0,2023-10-01T03:00:00Z,PT60M
26,0,0,2023-10-01T04:00:00Z,PT60M
26,0,0,2023-10-01T05:00:00Z,PT60M
25,0,0,2023-10-01T06:00:00Z,PT60M
25,0,0,2023-10-01T07:00:00Z,PT60M
25,0,0,2023-10-01T08:00:00Z,PT60M
25,0,0,2023-10-01T09:00:00Z,PT60M
25,0,0,2023-10-01T10:00:00Z,PT60M
25,0,0,2023-10-01T11:00:00Z,PT60M
25,0,23,2023-10-01T12:00:00Z,PT60M
25,210,221,2023-10-01T13:00:00Z,PT60M
26,348,431,2023-10-01T14:00:00Z,PT60M
28,114,480,2023-10-01T15:00:00Z,PT60M
29,264,667,2023-10-01T16:00:00Z,PT60M
30,367,783,2023-10-01T17:00:00Z,PT60M
30,400,806,2023-10-01T18:00:00Z,PT60M
30,443,773,2023-10-01T19:00:00Z,PT60M
29,393,647,2023-10-01T20:00:00Z,PT60M
29,558,538,2023-10-01T21:00:00Z,PT60M
28,476,325,2023-10-01T22:00:00Z,PT60M
27,113,87,2023-10-01T23:00:00Z,PT60M
27,0,0,2023-10-02T00:00:00Z,PT60M
27,0,0,2023-10-02T01:00:00Z,PT60M
26,0,0,2023-10-02T02:00:00Z,PT60M
26,0,0,2023-10-02T03:00:00Z,PT60M
26,0,0,2023-10-02T04:00:00Z,PT60M
26,0,0,2023-10-02T05:00:00Z,PT60M
26,0,0,2023-10-02T06:00:00Z,PT60M
25,0,0,2023-10-02T07:00:00Z,PT60M
25,0,0,2023-10-02T08:00:00Z,PT60M
25,0,0,2023-10-02T09:00:00Z,PT60M
24,0,0,2023-10-02T10:00:00Z,PT60M
24,0,0,2023-10-02T11:00:00Z,PT60M
24,0,26,2023-10-02T12:00:00Z,PT60M
25,0,145,2023-10-02T13:00:00Z,PT60M
26,0,231,2023-10-02T14:00:00Z,PT60M
27,0,376,2023-10-02T15:00:00Z,PT60M
27,2,493,2023-10-02T16:00:00Z,PT60M
28,0,484,2023-10-02T17:00:00Z,PT60M
28,176,677,2023-10-02T18:00:00Z,PT60M
29,38,486,2023-10-02T19:00:00Z,PT60M
29,124,519,2023-10-02T20:00:00Z,PT60M
29,505,527,2023-10-02T21:00:00Z,PT60M
28,331,299,2023-10-02T22:00:00Z,PT60M
27,12,58,2023-10-02T23:00:00Z,PT60M
26,0,0,2023-10-03T00:00:00Z,PT60M
26,0,0,2023-10-03T01:00:00Z,PT60M
26,0,0,2023-10-03T02:00:00Z,PT60M
25,0,0,2023-10-03T03:00:00Z,PT60M
25,0,0,2023-10-03T04:00:00Z,PT60M
25,0,0,2023-10-03T05:00:00Z,PT60M
25,0,0,2023-10-03T06:00:00Z,PT60M
25,0,0,2023-10-03T07:00:00Z,PT60M
25,0,0,2023-10-03T08:00:00Z,PT60M
25,0,0,2023-10-03T09:00:00Z,PT60M
24,0,0,2023-10-03T10:00:00Z,PT60M
24,0,0,2023-10-03T11:00:00Z,PT60M
24,11,39,2023-10-03T12:00:00Z,PT60M
25,83,197,2023-10-03T13:00:00Z,PT60M
26,47,325,2023-10-03T14:00:00Z,PT60M
27,0,359,2023-10-03T15:00:00Z,PT60M
28,1,477,2023-10-03T16:00:00Z,PT60M
29,0,388,2023-10-03T17:00:00Z,PT60M
