dni,ghi,period_end,period
0,0,2023-10-01 01:00:00+00:00,PT60M
0,0,2023-10-01 02:00:00+00:00,PT60M
0,0,2023-10-01 03:00:00+00:00,PT60M
0,0,2023-10-01 04:00:00+00:00,PT60M
0,0,2023-10-01 05:00:00+00:00,PT60M
0,0,2023-10-01 06:00:00+00:00,PT60M
0,0,2023-10-01 07:00:00+00:00,PT60M
0,0,2023-10-01 08:00:00+00:00,PT60M
0,0,2023-10-01 09:00:00+00:00,PT60M
0,0,2023-10-01 10:00:00+00:00,PT60M
0,0,2023-10-01 11:00:00+00:00,PT60M
0,23,2023-10-01 12:00:00+00:00,PT60M
210,221,2023-10-01 13:00:00+00:00,PT60M
348,431,2023-10-01 14:00:00+00:00,PT60M
114,480,2023-10-01 15:00:00+00:00,PT60M
264,667,2023-10-01 16:00:00+00:00,PT60M
367,783,2023-10-01 17:00:00+00:00,PT60M
400,806,2023-10-01 18:00:00+00:00,PT60M
443,773,2023-10-01 19:00:00+00:00,PT60M
393,647,2023-10-01 20:00:00+00:00,PT60M
558,538,2023-10-01 21:00:00+00:00,PT60M
476,325,2023-10-01 22:00:00+00:00,PT60M
113,87,2023-10-01 23:00:00+00:00,PT60M
0,0,2023-10-02 00:00:00+00:00,PT60M
0,0,2023-10-02 01:00:00+00:00,PT60M
0,0,2023-10-02 02:00:00+00:00,PT60M
0,0,2023-10-02 03:00:00+00:00,PT60M
0,0,2023-10-02 04:00:00+00:00,PT60M
0,0,2023-10-02 05:00:00+00:00,PT60M
0,0,2023-10-02 06:00:00+00:00,PT60M
0,0,2023-10-02 07:00:00+00:00,PT60M
0,0,2023-10-02 08:00:00+00:00,PT60M
0,0,2023-10-02 09:00:00+00:00,PT60M
0,0,2023-10-02 10:00:00+00:00,PT60M
0,0,2023-10-02 11:00:00+00:00,PT60M
0,26,2023-10-02 12:00:00+00:00,PT60M
0,145,2023-10-02 13:00:00+00:00,PT60M
0,231,2023-10-02 14:00:00+00:00,PT60M
0,376,2023-10-02 15:00:00+00:00,PT60M
2,493,2023-10-02 16:00:00+00:00,PT60M
0,484,2023-10-02 17:00:00+00:00,PT60M
176,677,2023-10-02 18:00:00+00:00,PT60M
38,486,2023-10-02 19:00:00+00:00,PT60M
124,519,2023-10-02 20:00:00+00:00,PT60M
505,527,2023-10-02 21:00:00+00:00,PT60M
331,299,2023-10-02 22:00:00+00:00,PT60M
12,58,2023-10-02 23:00:00+00:00,PT60M
0,0,2023-10-03 00:00:00+00:00,PT60M
0,0,2023-10-03 01:00:00+00:00,PT60M
0,0,2023-10-03 02:00:00+00:00,PT60M
0,0,2023-10-03 03:00:00+00:00,PT60M
0,0,2023-10-03 04:00:00+00:00,PT60M
0,0,2023-10-03 05:00:00+00:00,PT60M
0,0,2023-10-03 06:00:00+00:00,PT60M
0,0,2023-10-03 07:00:00+00:00,PT60M
0,0,2023-10-03 08:00:00+00:00,PT60M
0,0,2023-10-03 09:00:00+00:00,PT60M
0,0,2023-10-03 10:00:00+00:00,PT60M
0,0,2023-10-03 11:00:00+00:00,PT60M
11,39,2023-10-03 12:00:00+00:00,PT60M
83,197,2023-10-03 13:00:00+00:00,PT60M
47,325,2023-10-03 14:00:00+00:00,PT60M
0,359,2023-10-03 15:00:00+00:00,PT60M
1,477,2023-10-03 16:00:00+00:00,PT60M
0,388,2023-10-03 17:00:00+00:00,PT60M
0,425,2023-10-03 18:00:00+00:00,PT60M
0,338,2023-10-03 19:00:00+00:00,PT60M
28,463,2023-10-03 20:00:00+00:00,PT60M
0,292,2023-10-03 21:00:00+00:00,PT60M
0,189,2023-10-03 22:00:00+00:00,PT60M
0,41,2023-10-03 23:00:00+00:00,PT60M
0,0,2023-10-04 00:00:00+00:00,PT60M
0,0,2023-10-04 01:00:00+00:00,PT60M
0,0,2023-10-04 02:00:00+00:00,PT60M
0,0,2023-10-04 03:00:00+00:00,PT60M
0,0,2023-10-04 04:00:00+00:00,PT60M
0,0,2023-10-04 05:00:00+00:00,PT60M
0,0,2023-10-04 06:00:00+00:00,PT60M
0,0,2023-10-04 07:00:00+00:00,PT60M
0,0,2023-10-04 08:00:00+00:00,PT60M
0,0,2023-10-04 09:00:00+00:00,PT60M
0,0,2023-10-04 10:00:00+00:00,PT60M
0,0,2023-10-04 11:00:00+00:00,PT60M
