air_temp,dni,ghi,period_end,period
15,0,0,2023-10-01T01:00:00Z,PT60M
15,0,0,2023-10-01T02:00:00Z,PT60M
14,0,0,2023-10-01T03:00:00Z,PT60M
13,0,0,2023-10-01T04:00:00Z,PT60M
13,0,0,2023-10-01T05:00:00Z,PT60M
13,0,0,2023-10-01T06:00:00Z,PT60M
13,0,0,2023-10-01T07:00:00Z,PT60M
13,0,0,2023-10-01T08:00:00Z,PT60M
12,0,0,2023-10-01T09:00:00Z,PT60M
12,0,0,2023-10-01T10:00:00Z,PT60M
12,0,0,2023-10-01T11:00:00Z,PT60M
12,228,79,2023-10-01T12:00:00Z,PT60M
12,681,339,2023-10-01T13:00:00Z,PT60M
14,836,606,2023-10-01T14:00:00Z,PT60M
16,917,833,2023-10-01T15:00:00Z,PT60M
18,933,987,2023-10-01T16:00:00Z,PT60M
19,508,884,2023-10-01T17:00:00Z,PT60M
19,196,685,2023-10-01T18:00:00Z,PT60M
17,0,444,2023-10-01T19:00:00Z,PT60M
16,126,507,2023-10-01T20:00:00Z,PT60M
16,245,465,2023-10-01T21:00:00Z,PT60M
16,7,164,2023-10-01T22:00:00Z,PT60M
16,0,37,2023-10-01T23:00:00Z,PT60M
15,0,0,2023-10-02T00:00:00Z,PT60M
15,0,0,2023-10-02T01:00:00Z,PT60M
14,0,0,2023-10-02T02:00:00Z,PT60M
14,0,0,2023-10-02T03:00:00Z,PT60M
13,0,0,2023-10-02T04:00:00Z,PT60M
13,0,0,2023-10-02T05:00:00Z,PT60M
13,0,0,2023-10-02T06:00:00Z,PT60M
13,0,0,2023-10-02T07:00:00Z,PT60M
12,0,0,2023-10-02T08:00:00Z,PT60M
12,0,0,2023-10-02T09:00:00Z,PT60M
11,0,0,2023-10-02T10:00:00Z,PT60M
11,0,0,2023-10-02T11:00:00Z,PT60M
11,311,89,2023-10-02T12:00:00Z,PT60M
12,790,356,2023-10-02T13:00:00Z,PT60M
15,918,623,2023-10-02T14:00:00Z,PT60M
18,976,847,2023-10-02T15:00:00Z,PT60M
18,974,999,2023-10-02T16:00:00Z,PT60M
19,893,1049,2023-10-02T17:00:00Z,PT60M
19,630,954,2023-10-02T18:00:00Z,PT60M
19,129,619,2023-10-02T19:00:00Z,PT60M
18,10,388,2023-10-02T20:00:00Z,PT60M
18,112,336,2023-10-02T21:00:00Z,PT60M
16,164,223,2023-10-02T22:00:00Z,PT60M
14,0,38,2023-10-02T23:00:00Z,PT60M
14,0,0,2023-10-03T00:00:00Z,PT60M
14,0,0,2023-10-03T01:00:00Z,PT60M
14,0,0,2023-10-03T02:00:00Z,PT60M
13,0,0,2023-10-03T03:00:00Z,PT60M
12,0,0,2023-10-03T04:00:00Z,PT60M
13,0,0,2023-10-03T05:00:00Z,PT60M
13,0,0,2023-10-03T06:00:00Z,PT60M
12,0,0,2023-10-03T07:00:00Z,PT60M
11,0,0,2023-10-03T08:00:00Z,PT60M
10,0,0,2023-10-03T09:00:00Z,PT60M
10,0,0,2023-10-03T10:00:00Z,PT60M
9,0,0,2023-10-03T11:00:00Z,PT60M
10,175,80,2023-10-03T12:00:00Z,PT60M
12,762,355,2023-10-03T13:00:00Z,PT60M
15,908,624,2023-10-03T14:00:00Z,PT60M
17,970,850,2023-10-03T15:00:00Z,PT60M
18,861,959,2023-10-03T16:00:00Z,PT60M
18,217,758,2023-10-03T17:00:00Z,PT60M
18,394,850,2023-10-03T18:00:00Z,PT60M
