dni,ghi,period_end,period
0,0,2023-10-01 01:00:00+00:00,PT60M
0,0,2023-10-01 02:00:00+00:00,PT60M
0,0,2023-10-01 03:00:00+00:00,PT60M
0,0,2023-10-01 04:00:00+00:00,PT60M
0,0,2023-10-01 05:00:00+00:00,PT60M
0,0,2023-10-01 06:00:00+00:00,PT60M
0,0,2023-10-01 07:00:00+00:00,PT60M
0,0,2023-10-01 08:00:00+00:00,PT60M
0,0,2023-10-01 09:00:00+00:00,PT60M
0,0,2023-10-01 10:00:00+00:00,PT60M
0,0,2023-10-01 11:00:00+00:00,PT60M
228,79,2023-10-01 12:00:00+00:00,PT60M
681,339,2023-10-01 13:00:00+00:00,PT60M
836,606,2023-10-01 14:00:00+00:00,PT60M
917,833,2023-10-01 15:00:00+00:00,PT60M
933,987,2023-10-01 16:00:00+00:00,PT60M
508,884,2023-10-01 17:00:00+00:00,PT60M
196,685,2023-10-01 18:00:00+00:00,PT60M
0,444,2023-10-01 19:00:00+00:00,PT60M
126,507,2023-10-01 20:00:00+00:00,PT60M
245,465,2023-10-01 21:00:00+00:00,PT60M
7,164,2023-10-01 22:00:00+00:00,PT60M
0,37,2023-10-01 23:00:00+00:00,PT60M
0,0,2023-10-02 00:00:00+00:00,PT60M
0,0,2023-10-02 01:00:00+00:00,PT60M
0,0,2023-10-02 02:00:00+00:00,PT60M
0,0,2023-10-02 03:00:00+00:00,PT60M
0,0,2023-10-02 04:00:00+00:00,PT60M
0,0,2023-10-02 05:00:00+00:00,PT60M
0,0,2023-10-02 06:00:00+00:00,PT60M
0,0,2023-10-02 07:00:00+00:00,PT60M
0,0,2023-10-02 08:00:00+00:00,PT60M
0,0,2023-10-02 09:00:00+00:00,PT60M
0,0,2023-10-02 10:00:00+00:00,PT60M
0,0,2023-10-02 11:00:00+00:00,PT60M
311,89,2023-10-02 12:00:00+00:00,PT60M
790,356,2023-10-02 13:00:00+00:00,PT60M
918,623,2023-10-02 14:00:00+00:00,PT60M
976,847,2023-10-02 15:00:00+00:00,PT60M
974,999,2023-10-02 16:00:00+00:00,PT60M
893,1049,2023-10-02 17:00:00+00:00,PT60M
630,954,2023-10-02 18:00:00+00:00,PT60M
129,619,2023-10-02 19:00:00+00:00,PT60M
10,388,2023-10-02 20:00:00+00:00,PT60M
112,336,2023-10-02 21:00:00+00:00,PT60M
164,223,2023-10-02 22:00:00+00:00,PT60M
0,38,2023-10-02 23:00:00+00:00,PT60M
0,0,2023-10-03 00:00:00+00:00,PT60M
0,0,2023-10-03 01:00:00+00:00,PT60M
0,0,2023-10-03 02:00:00+00:00,PT60M
0,0,2023-10-03 03:00:00+00:00,PT60M
0,0,2023-10-03 04:00:00+00:00,PT60M
0,0,2023-10-03 05:00:00+00:00,PT60M
0,0,2023-10-03 06:00:00+00:00,PT60M
0,0,2023-10-03 07:00:00+00:00,PT60M
0,0,2023-10-03 08:00:00+00:00,PT60M
0,0,2023-10-03 09:00:00+00:00,PT60M
0,0,2023-10-03 10:00:00+00:00,PT60M
0,0,2023-10-03 11:00:00+00:00,PT60M
175,80,2023-10-03 12:00:00+00:00,PT60M
762,355,2023-10-03 13:00:00+00:00,PT60M
908,624,2023-10-03 14:00:00+00:00,PT60M
970,850,2023-10-03 15:00:00+00:00,PT60M
861,959,2023-10-03 16:00:00+00:00,PT60M
217,758,2023-10-03 17:00:00+00:00,PT60M
394,850,2023-10-03 18:00:00+00:00,PT60M
77,340,2023-10-03 19:00:00+00:00,PT60M
0,281,2023-10-03 20:00:00+00:00,PT60M
0,143,2023-10-03 21:00:00+00:00,PT60M
0,121,2023-10-03 22:00:00+00:00,PT60M
0,12,2023-10-03 23:00:00+00:00,PT60M
0,0,2023-10-04 00:00:00+00:00,PT60M
0,0,2023-10-04 01:00:00+00:00,PT60M
0,0,2023-10-04 02:00:00+00:00,PT60M
0,0,2023-10-04 03:00:00+00:00,PT60M
0,0,2023-10-04 04:00:00+00:00,PT60M
0,0,2023-10-04 05:00:00+00:00,PT60M
0,0,2023-10-04 06:00:00+00:00,PT60M
0,0,2023-10-04 07:00:00+00:00,PT60M
0,0,2023-10-04 08:00:00+00:00,PT60M
0,0,2023-10-04 09:00:00+00:00,PT60M
0,0,2023-10-04 10:00:00+00:00,PT60M
0,0,2023-10-04 11:00:00+00:00,PT60M
