air_temp,dni,ghi,period_end,period
15,0,0,2023-10-01T01:00:00Z,PT60M
15,0,0,2023-10-01T02:00:00Z,PT60M
14,0,0,2023-10-01T03:00:00Z,PT60M
14,0,0,2023-10-01T04:00:00Z,PT60M
13,0,0,2023-10-01T05:00:00Z,PT60M
13,0,0,2023-10-01T06:00:00Z,PT60M
13,0,0,2023-10-01T07:00:00Z,PT60M
13,0,0,2023-10-01T08:00:00Z,PT60M
13,0,0,2023-10-01T09:00:00Z,PT60M
12,0,0,2023-10-01T10:00:00Z,PT60M
12,0,0,2023-10-01T11:00:00Z,PT60M
12,240,79,2023-10-01T12:00:00Z,PT60M
13,675,338,2023-10-01T13:00:00Z,PT60M
14,831,604,2023-10-01T14:00:00Z,PT60M
16,912,831,2023-10-01T15:00:00Z,PT60M
18,929,984,2023-10-01T16:00:00Z,PT60M
19,503,881,2023-10-01T17:00:00Z,PT60M
19,193,692,2023-10-01T18:00:00Z,PT60M
18,0,407,2023-10-01T19:00:00Z,PT60M
16,97,484,2023-10-01T20:00:00Z,PT60M
16,187,445,2023-10-01T21:00:00Z,PT60M
16,0,154,2023-10-01T22:00:00Z,PT60M
16,0,38,2023-10-01T23:00:00Z,PT60M
15,0,0,2023-10-02T00:00:00Z,PT60M
15,0,0,2023-10-02T01:00:00Z,PT60M
14,0,0,2023-10-02T02:00:00Z,PT60M
14,0,0,2023-10-02T03:00:00Z,PT60M
14,0,0,2023-10-02T04:00:00Z,PT60M
13,0,0,2023-10-02T05:00:00Z,PT60M
13,0,0,2023-10-02T06:00:00Z,PT60M
13,0,0,2023-10-02T07:00:00Z,PT60M
12,0,0,2023-10-02T08:00:00Z,PT60M
12,0,0,2023-10-02T09:00:00Z,PT60M
12,0,0,2023-10-02T10:00:00Z,PT60M
11,0,0,2023-10-02T11:00:00Z,PT60M
11,312,89,2023-10-02T12:00:00Z,PT60M
13,785,355,2023-10-02T13:00:00Z,PT60M
15,914,621,2023-10-02T14:00:00Z,PT60M
18,972,845,2023-10-02T15:00:00Z,PT60M
18,952,991,2023-10-02T16:00:00Z,PT60M
19,830,1024,2023-10-02T17:00:00Z,PT60M
19,638,956,2023-10-02T18:00:00Z,PT60M
19,131,618,2023-10-02T19:00:00Z,PT60M
18,5,369,2023-10-02T20:00:00Z,PT60M
18,111,326,2023-10-02T21:00:00Z,PT60M
16,155,225,2023-10-02T22:00:00Z,PT60M
15,0,40,2023-10-02T23:00:00Z,PT60M
14,0,0,2023-10-03T00:00:00Z,PT60M
14,0,0,2023-10-03T01:00:00Z,PT60M
14,0,0,2023-10-03T02:00:00Z,PT60M
13,0,0,2023-10-03T03:00:00Z,PT60M
13,0,0,2023-10-03T04:00:00Z,PT60M
13,0,0,2023-10-03T05:00:00Z,PT60M
13,0,0,2023-10-03T06:00:00Z,PT60M
12,0,0,2023-10-03T07:00:00Z,PT60M
11,0,0,2023-10-03T08:00:00Z,PT60M
11,0,0,2023-10-03T09:00:00Z,PT60M
10,0,0,2023-10-03T10:00:00Z,PT60M
10,0,0,2023-10-03T11:00:00Z,PT60M
10,173,80,2023-10-03T12:00:00Z,PT60M
12,757,354,2023-10-03T13:00:00Z,PT60M
15,903,623,2023-10-03T14:00:00Z,PT60M
17,967,848,2023-10-03T15:00:00Z,PT60M
18,850,954,2023-10-03T16:00:00Z,PT60M
18,132,708,2023-10-03T17:00:00Z,PT60M
18,351,829,2023-10-03T18:00:00Z,PT60M
