air_temp,dni,ghi,period_end,period
26,0,0,2023-10-01T01:00:00Z,PT60M
25,0,0,2023-10-01T02:00:00Z,PT60M
25,0,0,2023-10-01T03:00:00Z,PT60M
25,0,0,2023-10-01T04:00:00Z,PT60M
25,0,0,2023-10-01T05:00:00Z,PT60M
24,0,0,2023-10-01T06:00:00Z,PT60M
24,0,0,2023-10-01T07:00:00Z,PT60M
24,0,0,2023-10-01T08:00:00Z,PT60M
24,0,0,2023-10-01T09:00:00Z,PT60M
24,0,0,2023-10-01T10:00:00Z,PT60M
25,0,0,2023-10-01T11:00:00Z,PT60M
25,0,20,2023-10-01T12:00:00Z,PT60M
25,60,171,2023-10-01T13:00:00Z,PT60M
25,338,424,2023-10-01T14:00:00Z,PT60M
26,340,591,2023-10-01T15:00:00Z,PT60M
26,303,693,2023-10-01T16:00:00Z,PT60M
27,651,905,2023-10-01T17:00:00Z,PT60M
28,744,957,2023-10-01T18:00:00Z,PT60M
28,812,927,2023-10-01T19:00:00Z,PT60M
27,764,789,2023-10-01T20:00:00Z,PT60M
27,413,519,2023-10-01T21:00:00Z,PT60M
27,19,227,2023-10-01T22:00:00Z,PT60M
26,0,59,2023-10-01T23:00:00Z,PT60M
26,0,1,2023-10-02T00:00:00Z,PT60M
26,0,0,2023-10-02T01:00:00Z,PT60M
26,0,0,2023-10-02T02:00:00Z,PT60M
25,0,0,2023-10-02T03:00:00Z,PT60M
25,0,0,2023-10-02T04:00:00Z,PT60M
25,0,0,2023-10-02T05:00:00Z,PT60M
24,0,0,2023-10-02T06:00:00Z,PT60M
24,0,0,2023-10-02T07:00:00Z,PT60M
23,0,0,2023-10-02T08:00:00Z,PT60M
23,0,0,2023-10-02T09:00:00Z,PT60M
23,0,0,2023-10-02T10:00:00Z,PT60M
23,0,0,2023-10-02T11:00:00Z,PT60M
24,12,35,2023-10-02T12:00:00Z,PT60M
24,327,232,2023-10-02T13:00:00Z,PT60M
24,114,358,2023-10-02T14:00:00Z,PT60M
25,225,546,2023-10-02T15:00:00Z,PT60M
25,670,837,2023-10-02T16:00:00Z,PT60M
26,824,975,2023-10-02T17:00:00Z,PT60M
28,711,946,2023-10-02T18:00:00Z,PT60M
28,785,922,2023-10-02T19:00:00Z,PT60M
27,743,786,2023-10-02T20:00:00Z,PT60M
27,668,589,2023-10-02T21:00:00Z,PT60M
26,531,352,2023-10-02T22:00:00Z,PT60M
25,234,114,2023-10-02T23:00:00Z,PT60M
25,0,1,2023-10-03T00:00:00Z,PT60M
24,0,0,2023-10-03T01:00:00Z,PT60M
24,0,0,2023-10-03T02:00:00Z,PT60M
24,0,0,2023-10-03T03:00:00Z,PT60M
23,0,0,2023-10-03T04:00:00Z,PT60M
23,0,0,2023-10-03T05:00:00Z,PT60M
23,0,0,2023-10-03T06:00:00Z,PT60M
23,0,0,2023-10-03T07:00:00Z,PT60M
22,0,0,2023-10-03T08:00:00Z,PT60M
22,0,0,2023-10-03T09:00:00Z,PT60M
23,0,0,2023-10-03T10:00:00Z,PT60M
23,0,0,2023-10-03T11:00:00Z,PT60M
23,57,40,2023-10-03T12:00:00Z,PT60M
23,314,231,2023-10-03T13:00:00Z,PT60M
24,516,476,2023-10-03T14:00:00Z,PT60M
25,703,712,2023-10-03T15:00:00Z,PT60M
25,782,882,2023-10-03T16:00:00Z,PT60M
26,820,980,2023-10-03T17:00:00Z,PT60M
27,708,949,2023-10-03T18:00:00Z,PT60M
27,814,933,2023-10-03T19:00:00Z,PT60M
27,797,802,2023-10-03T20:00:00Z,PT60M
26,731,604,2023-10-03T21:00:00Z,PT60M
25,598,364,2023-10-03T22:00:00Z,PT60M
25,292,121,2023-10-03T23:00:00Z,PT60M
24,0,2,2023-10-04T00:00:00Z,PT60M
24,0,0,2023-10-04T01:00:00Z,PT60M
24,0,0,2023-10-04T02:00:00Z,PT60M
24,0,0,2023-10-04T03:00:00Z,PT60M
23,0,0,2023-10-04T04:00:00Z,PT60M
23,0,0,2023-10-04T05:00:00Z,PT60M
23,0,0,2023-10-04T06:00:00Z,PT60M
22,0,0,2023-10-04T07:00:00Z,PT60M
22,0,0,2023-10-04T08:00:00Z,PT60M
22,0,0,2023-10-04T09:00:00Z,PT60M
22,0,0,2023-10-04T10:00:00Z,PT60M
23,0,0,2023-10-04T11:00:00Z,PT60M
23,80,43,2023-10-04T12:00:00Z,PT60M
23,431,252,2023-10-04T13:00:00Z,PT60M
24,629,500,2023-10-04T14:00:00Z,PT60M
25,734,718,2023-10-04T15:00:00Z,PT60M
26,788,881,2023-10-04T16:00:00Z,PT60M
26,817,974,2023-10-04T17:00:00Z,PT60M
27,660,926,2023-10-04T18:00:00Z,PT60M
28,805,926,2023-10-04T19:00:00Z,PT60M
28,765,789,2023-10-04T20:00:00Z,PT60M
27,598,569,2023-10-04T21:00:00Z,PT60M
26,520,349,2023-10-04T22:00:00Z,PT60M
24,39,83,2023-10-04T23:00:00Z,PT60M
24,0,1,2023-10-05T00:00:00Z,PT60M
24,0,0,2023-10-05T01:00:00Z,PT60M
24,0,0,2023-10-05T02:00:00Z,PT60M
24,0,0,2023-10-05T03:00:00Z,PT60M
23,0,0,2023-10-05T04:00:00Z,PT60M
23,0,0,2023-10-05T05:00:00Z,PT60M
23,0,0,2023-10-05T06:00:00Z,PT60M
23,0,0,2023-10-05T07:00:00Z,PT60M
23,0,0,2023-10-05T08:00:00Z,PT60M
23,0,0,2023-10-05T09:00:00Z,PT60M
23,0,0,2023-10-05T10:00:00Z,PT60M
23,0,0,2023-10-05T11:00:00Z,PT60M
23,0,30,2023-10-05T12:00:00Z,PT60M
23,203,205,2023-10-05T13:00:00Z,PT60M
24,0,248,2023-10-05T14:00:00Z,PT60M
25,204,537,2023-10-05T15:00:00Z,PT60M
27,527,782,2023-10-05T16:00:00Z,PT60M
27,470,830,2023-10-05T17:00:00Z,PT60M
27,475,845,2023-10-05T18:00:00Z,PT60M
26,522,816,2023-10-05T19:00:00Z,PT60M
26,476,690,2023-10-05T20:00:00Z,PT60M
26,327,491,2023-10-05T21:00:00Z,PT60M
25,375,321,2023-10-05T22:00:00Z,PT60M
