dni,ghi,period_end,period
0,0,2023-10-01 01:00:00+00:00,PT60M
0,0,2023-10-01 02:00:00+00:00,PT60M
0,0,2023-10-01 03:00:00+00:00,PT60M
0,0,2023-10-01 04:00:00+00:00,PT60M
0,0,2023-10-01 05:00:00+00:00,PT60M
0,0,2023-10-01 06:00:00+00:00,PT60M
0,0,2023-10-01 07:00:00+00:00,PT60M
0,0,2023-10-01 08:00:00+00:00,PT60M
0,0,2023-10-01 09:00:00+00:00,PT60M
0,0,2023-10-01 10:00:00+00:00,PT60M
0,0,2023-10-01 11:00:00+00:00,PT60M
0,20,2023-10-01 12:00:00+00:00,PT60M
60,171,2023-10-01 13:00:00+00:00,PT60M
338,424,2023-10-01 14:00:00+00:00,PT60M
340,591,2023-10-01 15:00:00+00:00,PT60M
303,693,2023-10-01 16:00:00+00:00,PT60M
651,905,2023-10-01 17:00:00+00:00,PT60M
744,957,2023-10-01 18:00:00+00:00,PT60M
812,927,2023-10-01 19:00:00+00:00,PT60M
764,789,2023-10-01 20:00:00+00:00,PT60M
413,519,2023-10-01 21:00:00+00:00,PT60M
19,227,2023-10-01 22:00:00+00:00,PT60M
0,59,2023-10-01 23:00:00+00:00,PT60M
0,1,2023-10-02 00:00:00+00:00,PT60M
0,0,2023-10-02 01:00:00+00:00,PT60M
0,0,2023-10-02 02:00:00+00:00,PT60M
0,0,2023-10-02 03:00:00+00:00,PT60M
0,0,2023-10-02 04:00:00+00:00,PT60M
0,0,2023-10-02 05:00:00+00:00,PT60M
0,0,2023-10-02 06:00:00+00:00,PT60M
0,0,2023-10-02 07:00:00+00:00,PT60M
0,0,2023-10-02 08:00:00+00:00,PT60M
0,0,2023-10-02 09:00:00+00:00,PT60M
0,0,2023-10-02 10:00:00+00:00,PT60M
0,0,2023-10-02 11:00:00+00:00,PT60M
12,35,2023-10-02 12:00:00+00:00,PT60M
327,232,2023-10-02 13:00:00+00:00,PT60M
114,358,2023-10-02 14:00:00+00:00,PT60M
225,546,2023-10-02 15:00:00+00:00,PT60M
670,837,2023-10-02 16:00:00+00:00,PT60M
824,975,2023-10-02 17:00:00+00:00,PT60M
711,946,2023-10-02 18:00:00+00:00,PT60M
785,922,2023-10-02 19:00:00+00:00,PT60M
743,786,2023-10-02 20:00:00+00:00,PT60M
668,589,2023-10-02 21:00:00+00:00,PT60M
531,352,2023-10-02 22:00:00+00:00,PT60M
234,114,2023-10-02 23:00:00+00:00,PT60M
0,1,2023-10-03 00:00:00+00:00,PT60M
0,0,2023-10-03 01:00:00+00:00,PT60M
0,0,2023-10-03 02:00:00+00:00,PT60M
0,0,2023-10-03 03:00:00+00:00,PT60M
0,0,2023-10-03 04:00:00+00:00,PT60M
0,0,2023-10-03 05:00:00+00:00,PT60M
0,0,2023-10-03 06:00:00+00:00,PT60M
0,0,2023-10-03 07:00:00+00:00,PT60M
0,0,2023-10-03 08:00:00+00:00,PT60M
0,0,2023-10-03 09:00:00+00:00,PT60M
0,0,2023-10-03 10:00:00+00:00,PT60M
0,0,2023-10-03 11:00:00+00:00,PT60M
57,40,2023-10-03 12:00:00+00:00,PT60M
314,231,2023-10-03 13:00:00+00:00,PT60M
516,476,2023-10-03 14:00:00+00:00,PT60M
703,712,2023-10-03 15:00:00+00:00,PT60M
782,882,2023-10-03 16:00:00+00:00,PT60M
820,980,2023-10-03 17:00:00+00:00,PT60M
708,949,2023-10-03 18:00:00+00:00,PT60M
814,933,2023-10-03 19:00:00+00:00,PT60M
797,802,2023-10-03 20:00:00+00:00,PT60M
731,604,2023-10-03 21:00:00+00:00,PT60M
598,364,2023-10-03 22:00:00+00:00,PT60M
292,121,2023-10-03 23:00:00+00:00,PT60M
0,2,2023-10-04 00:00:00+00:00,PT60M
0,0,2023-10-04 01:00:00+00:00,PT60M
0,0,2023-10-04 02:00:00+00:00,PT60M
0,0,2023-10-04 03:00:00+00:00,PT60M
0,0,2023-10-04 04:00:00+00:00,PT60M
0,0,2023-10-04 05:00:00+00:00,PT60M
0,0,2023-10-04 06:00:00+00:00,PT60M
0,0,2023-10-04 07:00:00+00:00,PT60M
0,0,2023-10-04 08:00:00+00:00,PT60M
0,0,2023-10-04 09:00:00+00:00,PT60M
0,0,2023-10-04 10:00:00+00:00,PT60M
0,0,2023-10-04 11:00:00+00:00,PT60M
