dni,ghi,period_end,time,period
0,0,2023-10-01 01:00:00+00:00,01:00:00,PT60M
0,0,2023-10-01 02:00:00+00:00,02:00:00,PT60M
0,0,2023-10-01 03:00:00+00:00,03:00:00,PT60M
0,0,2023-10-01 04:00:00+00:00,04:00:00,PT60M
0,0,2023-10-01 05:00:00+00:00,05:00:00,PT60M
0,0,2023-10-01 06:00:00+00:00,06:00:00,PT60M
0,0,2023-10-01 07:00:00+00:00,07:00:00,PT60M
0,0,2023-10-01 08:00:00+00:00,08:00:00,PT60M
0,0,2023-10-01 09:00:00+00:00,09:00:00,PT60M
0,0,2023-10-01 10:00:00+00:00,10:00:00,PT60M
0,0,2023-10-01 11:00:00+00:00,11:00:00,PT60M
240,79,2023-10-01 12:00:00+00:00,12:00:00,PT60M
675,338,2023-10-01 13:00:00+00:00,13:00:00,PT60M
831,604,2023-10-01 14:00:00+00:00,14:00:00,PT60M
912,831,2023-10-01 15:00:00+00:00,15:00:00,PT60M
929,984,2023-10-01 16:00:00+00:00,16:00:00,PT60M
503,881,2023-10-01 17:00:00+00:00,17:00:00,PT60M
193,692,2023-10-01 18:00:00+00:00,18:00:00,PT60M
0,407,2023-10-01 19:00:00+00:00,19:00:00,PT60M
97,484,2023-10-01 20:00:00+00:00,20:00:00,PT60M
187,445,2023-10-01 21:00:00+00:00,21:00:00,PT60M
0,154,2023-10-01 22:00:00+00:00,22:00:00,PT60M
0,38,2023-10-01 23:00:00+00:00,23:00:00,PT60M
0,0,2023-10-02 00:00:00+00:00,00:00:00,PT60M
0,0,2023-10-02 01:00:00+00:00,01:00:00,PT60M
0,0,2023-10-02 02:00:00+00:00,02:00:00,PT60M
0,0,2023-10-02 03:00:00+00:00,03:00:00,PT60M
0,0,2023-10-02 04:00:00+00:00,04:00:00,PT60M
0,0,2023-10-02 05:00:00+00:00,05:00:00,PT60M
0,0,2023-10-02 06:00:00+00:00,06:00:00,PT60M
0,0,2023-10-02 07:00:00+00:00,07:00:00,PT60M
0,0,2023-10-02 08:00:00+00:00,08:00:00,PT60M
0,0,2023-10-02 09:00:00+00:00,09:00:00,PT60M
0,0,2023-10-02 10:00:00+00:00,10:00:00,PT60M
0,0,2023-10-02 11:00:00+00:00,11:00:00,PT60M
312,89,2023-10-02 12:00:00+00:00,12:00:00,PT60M
785,355,2023-10-02 13:00:00+00:00,13:00:00,PT60M
914,621,2023-10-02 14:00:00+00:00,14:00:00,PT60M
972,845,2023-10-02 15:00:00+00:00,15:00:00,PT60M
952,991,2023-10-02 16:00:00+00:00,16:00:00,PT60M
830,1024,2023-10-02 17:00:00+00:00,17:00:00,PT60M
638,956,2023-10-02 18:00:00+00:00,18:00:00,PT60M
131,618,2023-10-02 19:00:00+00:00,19:00:00,PT60M
5,369,2023-10-02 20:00:00+00:00,20:00:00,PT60M
111,326,2023-10-02 21:00:00+00:00,21:00:00,PT60M
155,225,2023-10-02 22:00:00+00:00,22:00:00,PT60M
0,40,2023-10-02 23:00:00+00:00,23:00:00,PT60M
0,0,2023-10-03 00:00:00+00:00,00:00:00,PT60M
0,0,2023-10-03 01:00:00+00:00,01:00:00,PT60M
0,0,2023-10-03 02:00:00+00:00,02:00:00,PT60M
0,0,2023-10-03 03:00:00+00:00,03:00:00,PT60M
0,0,2023-10-03 04:00:00+00:00,04:00:00,PT60M
0,0,2023-10-03 05:00:00+00:00,05:00:00,PT60M
0,0,2023-10-03 06:00:00+00:00,06:00:00,PT60M
0,0,2023-10-03 07:00:00+00:00,07:00:00,PT60M
0,0,2023-10-03 08:00:00+00:00,08:00:00,PT60M
0,0,2023-10-03 09:00:00+00:00,09:00:00,PT60M
0,0,2023-10-03 10:00:00+00:00,10:00:00,PT60M
0,0,2023-10-03 11:00:00+00:00,11:00:00,PT60M
173,80,2023-10-03 12:00:00+00:00,12:00:00,PT60M
757,354,2023-10-03 13:00:00+00:00,13:00:00,PT60M
903,623,2023-10-03 14:00:00+00:00,14:00:00,PT60M
967,848,2023-10-03 15:00:00+00:00,15:00:00,PT60M
850,954,2023-10-03 16:00:00+00:00,16:00:00,PT60M
132,708,2023-10-03 17:00:00+00:00,17:00:00,PT60M
351,829,2023-10-03 18:00:00+00:00,18:00:00,PT60M
85,347,2023-10-03 19:00:00+00:00,19:00:00,PT60M
0,259,2023-10-03 20:00:00+00:00,20:00:00,PT60M
0,141,2023-10-03 21:00:00+00:00,21:00:00,PT60M
0,119,2023-10-03 22:00:00+00:00,22:00:00,PT60M
0,13,2023-10-03 23:00:00+00:00,23:00:00,PT60M
0,0,2023-10-04 00:00:00+00:00,00:00:00,PT60M
0,0,2023-10-04 01:00:00+00:00,01:00:00,PT60M
0,0,2023-10-04 02:00:00+00:00,02:00:00,PT60M
0,0,2023-10-04 03:00:00+00:00,03:00:00,PT60M
0,0,2023-10-04 04:00:00+00:00,04:00:00,PT60M
0,0,2023-10-04 05:00:00+00:00,05:00:00,PT60M
0,0,2023-10-04 06:00:00+00:00,06:00:00,PT60M
0,0,2023-10-04 07:00:00+00:00,07:00:00,PT60M
0,0,2023-10-04 08:00:00+00:00,08:00:00,PT60M
0,0,2023-10-04 09:00:00+00:00,09:00:00,PT60M
0,0,2023-10-04 10:00:00+00:00,10:00:00,PT60M
0,0,2023-10-04 11:00:00+00:00,11:00:00,PT60M
177,80,2023-10-04 12:00:00+00:00,12:00:00,PT60M
728,352,2023-10-04 13:00:00+00:00,13:00:00,PT60M
882,622,2023-10-04 14:00:00+00:00,14:00:00,PT60M
944,847,2023-10-04 15:00:00+00:00,15:00:00,PT60M
976,1009,2023-10-04 16:00:00+00:00,16:00:00,PT60M
976,1091,2023-10-04 17:00:00+00:00,17:00:00,PT60M
904,1069,2023-10-04 18:00:00+00:00,18:00:00,PT60M
647,906,2023-10-04 19:00:00+00:00,19:00:00,PT60M
563,748,2023-10-04 20:00:00+00:00,20:00:00,PT60M
41,300,2023-10-04 21:00:00+00:00,21:00:00,PT60M
0,74,2023-10-04 22:00:00+00:00,22:00:00,PT60M
0,38,2023-10-04 23:00:00+00:00,23:00:00,PT60M
0,0,2023-10-05 00:00:00+00:00,00:00:00,PT60M
0,0,2023-10-05 01:00:00+00:00,01:00:00,PT60M
0,0,2023-10-05 02:00:00+00:00,02:00:00,PT60M
0,0,2023-10-05 03:00:00+00:00,03:00:00,PT60M
0,0,2023-10-05 04:00:00+00:00,04:00:00,PT60M
0,0,2023-10-05 05:00:00+00:00,05:00:00,PT60M
0,0,2023-10-05 06:00:00+00:00,06:00:00,PT60M
0,0,2023-10-05 07:00:00+00:00,07:00:00,PT60M
0,0,2023-10-05 08:00:00+00:00,08:00:00,PT60M
0,0,2023-10-05 09:00:00+00:00,09:00:00,PT60M
0,0,2023-10-05 10:00:00+00:00,10:00:00,PT60M
0,0,2023-10-05 11:00:00+00:00,11:00:00,PT60M
0,54,2023-10-05 12:00:00+00:00,12:00:00,PT60M
277,279,2023-10-05 13:00:00+00:00,13:00:00,PT60M
