air_temp,dni,ghi,period_end,period
11,0,0,2023-10-01T01:00:00Z,PT60M
10,0,0,2023-10-01T02:00:00Z,PT60M
9,0,0,2023-10-01T03:00:00Z,PT60M
9,0,0,2023-10-01T04:00:00Z,PT60M
9,0,0,2023-10-01T05:00:00Z,PT60M
8,0,0,2023-10-01T06:00:00Z,PT60M
7,0,0,2023-10-01T07:00:00Z,PT60M
7,0,0,2023-10-01T08:00:00Z,PT60M
6,0,0,2023-10-01T09:00:00Z,PT60M
6,0,0,2023-10-01T10:00:00Z,PT60M
7,0,0,2023-10-01T11:00:00Z,PT60M
7,22,59,2023-10-01T12:00:00Z,PT60M
8,483,315,2023-10-01T13:00:00Z,PT60M
11,854,614,2023-10-01T14:00:00Z,PT60M
13,879,826,2023-10-01T15:00:00Z,PT60M
14,476,820,2023-10-01T16:00:00Z,PT60M
16,256,781,2023-10-01T17:00:00Z,PT60M
17,64,615,2023-10-01T18:00:00Z,PT60M
17,0,339,2023-10-01T19:00:00Z,PT60M
17,0,412,2023-10-01T20:00:00Z,PT60M
16,25,361,2023-10-01T21:00:00Z,PT60M
15,149,277,2023-10-01T22:00:00Z,PT60M
14,63,87,2023-10-01T23:00:00Z,PT60M
13,0,0,2023-10-02T00:00:00Z,PT60M
11,0,0,2023-10-02T01:00:00Z,PT60M
10,0,0,2023-10-02T02:00:00Z,PT60M
9,0,0,2023-10-02T03:00:00Z,PT60M
8,0,0,2023-10-02T04:00:00Z,PT60M
7,0,0,2023-10-02T05:00:00Z,PT60M
7,0,0,2023-10-02T06:00:00Z,PT60M
7,0,0,2023-10-02T07:00:00Z,PT60M
6,0,0,2023-10-02T08:00:00Z,PT60M
6,0,0,2023-10-02T09:00:00Z,PT60M
5,0,0,2023-10-02T10:00:00Z,PT60M
5,0,0,2023-10-02T11:00:00Z,PT60M
6,225,82,2023-10-02T12:00:00Z,PT60M
8,811,360,2023-10-02T13:00:00Z,PT60M
12,956,633,2023-10-02T14:00:00Z,PT60M
16,1004,860,2023-10-02T15:00:00Z,PT60M
17,932,992,2023-10-02T16:00:00Z,PT60M
18,575,932,2023-10-02T17:00:00Z,PT60M
20,576,942,2023-10-02T18:00:00Z,PT60M
20,325,753,2023-10-02T19:00:00Z,PT60M
19,395,693,2023-10-02T20:00:00Z,PT60M
19,681,605,2023-10-02T21:00:00Z,PT60M
17,258,271,2023-10-02T22:00:00Z,PT60M
14,0,35,2023-10-02T23:00:00Z,PT60M
12,0,0,2023-10-03T00:00:00Z,PT60M
11,0,0,2023-10-03T01:00:00Z,PT60M
10,0,0,2023-10-03T02:00:00Z,PT60M
8,0,0,2023-10-03T03:00:00Z,PT60M
7,0,0,2023-10-03T04:00:00Z,PT60M
7,0,0,2023-10-03T05:00:00Z,PT60M
7,0,0,2023-10-03T06:00:00Z,PT60M
6,0,0,2023-10-03T07:00:00Z,PT60M
5,0,0,2023-10-03T08:00:00Z,PT60M
5,0,0,2023-10-03T09:00:00Z,PT60M
5,0,0,2023-10-03T10:00:00Z,PT60M
5,0,0,2023-10-03T11:00:00Z,PT60M
5,344,92,2023-10-03T12:00:00Z,PT60M
7,835,369,2023-10-03T13:00:00Z,PT60M
11,959,641,2023-10-03T14:00:00Z,PT60M
15,1013,870,2023-10-03T15:00:00Z,PT60M
16,903,989,2023-10-03T16:00:00Z,PT60M
18,693,990,2023-10-03T17:00:00Z,PT60M
19,354,836,2023-10-03T18:00:00Z,PT60M
19,733,944,2023-10-03T19:00:00Z,PT60M
19,770,821,2023-10-03T20:00:00Z,PT60M
18,746,624,2023-10-03T21:00:00Z,PT60M
16,262,269,2023-10-03T22:00:00Z,PT60M
14,0,43,2023-10-03T23:00:00Z,PT60M
