dni,ghi,period_end,period
0,0,2023-10-01 01:00:00+00:00,PT60M
0,0,2023-10-01 02:00:00+00:00,PT60M
0,0,2023-10-01 03:00:00+00:00,PT60M
0,0,2023-10-01 04:00:00+00:00,PT60M
0,0,2023-10-01 05:00:00+00:00,PT60M
0,0,2023-10-01 06:00:00+00:00,PT60M
0,0,2023-10-01 07:00:00+00:00,PT60M
0,0,2023-10-01 08:00:00+00:00,PT60M
0,0,2023-10-01 09:00:00+00:00,PT60M
0,0,2023-10-01 10:00:00+00:00,PT60M
0,0,2023-10-01 11:00:00+00:00,PT60M
22,59,2023-10-01 12:00:00+00:00,PT60M
483,315,2023-10-01 13:00:00+00:00,PT60M
854,614,2023-10-01 14:00:00+00:00,PT60M
879,826,2023-10-01 15:00:00+00:00,PT60M
476,820,2023-10-01 16:00:00+00:00,PT60M
256,781,2023-10-01 17:00:00+00:00,PT60M
64,615,2023-10-01 18:00:00+00:00,PT60M
0,339,2023-10-01 19:00:00+00:00,PT60M
0,412,2023-10-01 20:00:00+00:00,PT60M
25,361,2023-10-01 21:00:00+00:00,PT60M
149,277,2023-10-01 22:00:00+00:00,PT60M
63,87,2023-10-01 23:00:00+00:00,PT60M
0,0,2023-10-02 00:00:00+00:00,PT60M
0,0,2023-10-02 01:00:00+00:00,PT60M
0,0,2023-10-02 02:00:00+00:00,PT60M
0,0,2023-10-02 03:00:00+00:00,PT60M
0,0,2023-10-02 04:00:00+00:00,PT60M
0,0,2023-10-02 05:00:00+00:00,PT60M
0,0,2023-10-02 06:00:00+00:00,PT60M
0,0,2023-10-02 07:00:00+00:00,PT60M
0,0,2023-10-02 08:00:00+00:00,PT60M
0,0,2023-10-02 09:00:00+00:00,PT60M
0,0,2023-10-02 10:00:00+00:00,PT60M
0,0,2023-10-02 11:00:00+00:00,PT60M
225,82,2023-10-02 12:00:00+00:00,PT60M
811,360,2023-10-02 13:00:00+00:00,PT60M
956,633,2023-10-02 14:00:00+00:00,PT60M
1004,860,2023-10-02 15:00:00+00:00,PT60M
932,992,2023-10-02 16:00:00+00:00,PT60M
575,932,2023-10-02 17:00:00+00:00,PT60M
576,942,2023-10-02 18:00:00+00:00,PT60M
325,753,2023-10-02 19:00:00+00:00,PT60M
395,693,2023-10-02 20:00:00+00:00,PT60M
681,605,2023-10-02 21:00:00+00:00,PT60M
258,271,2023-10-02 22:00:00+00:00,PT60M
0,35,2023-10-02 23:00:00+00:00,PT60M
0,0,2023-10-03 00:00:00+00:00,PT60M
0,0,2023-10-03 01:00:00+00:00,PT60M
0,0,2023-10-03 02:00:00+00:00,PT60M
0,0,2023-10-03 03:00:00+00:00,PT60M
0,0,2023-10-03 04:00:00+00:00,PT60M
0,0,2023-10-03 05:00:00+00:00,PT60M
0,0,2023-10-03 06:00:00+00:00,PT60M
0,0,2023-10-03 07:00:00+00:00,PT60M
0,0,2023-10-03 08:00:00+00:00,PT60M
0,0,2023-10-03 09:00:00+00:00,PT60M
0,0,2023-10-03 10:00:00+00:00,PT60M
0,0,2023-10-03 11:00:00+00:00,PT60M
344,92,2023-10-03 12:00:00+00:00,PT60M
835,369,2023-10-03 13:00:00+00:00,PT60M
959,641,2023-10-03 14:00:00+00:00,PT60M
1013,870,2023-10-03 15:00:00+00:00,PT60M
903,989,2023-10-03 16:00:00+00:00,PT60M
693,990,2023-10-03 17:00:00+00:00,PT60M
354,836,2023-10-03 18:00:00+00:00,PT60M
733,944,2023-10-03 19:00:00+00:00,PT60M
770,821,2023-10-03 20:00:00+00:00,PT60M
746,624,2023-10-03 21:00:00+00:00,PT60M
262,269,2023-10-03 22:00:00+00:00,PT60M
0,43,2023-10-03 23:00:00+00:00,PT60M
0,0,2023-10-04 00:00:00+00:00,PT60M
0,0,2023-10-04 01:00:00+00:00,PT60M
0,0,2023-10-04 02:00:00+00:00,PT60M
0,0,2023-10-04 03:00:00+00:00,PT60M
0,0,2023-10-04 04:00:00+00:00,PT60M
0,0,2023-10-04 05:00:00+00:00,PT60M
0,0,2023-10-04 06:00:00+00:00,PT60M
0,0,2023-10-04 07:00:00+00:00,PT60M
0,0,2023-10-04 08:00:00+00:00,PT60M
0,0,2023-10-04 09:00:00+00:00,PT60M
0,0,2023-10-04 10:00:00+00:00,PT60M
0,0,2023-10-04 11:00:00+00:00,PT60M
